,create_Date,last_update, Price ,sales,app_name,Created_by, usd , total , inr-tot ,
132,16-Oct-18, 15 Dec 18, $25 ,6,Places - A minimalist locations app - Swift 4 / Xcode 10 / IOS 12 / iPhone XS,Top-Templates, $67.00 , $150.00 ," ? 10,050.00 ",
133,16-Oct-18, 26 Jan 19, $99 ,4,Crime Wars of San Andreas - GTA Style iOS Unity Game,electricpunch1, $67.00 , $396.00 ," ? 26,532.00 ",
134,16-Oct-18, 15 Oct 18, $20 ,1,CityRunner(iOS),EMS-11-Studio, $67.00 , $20.00 ," ? 1,340.00 ",
135,16-Oct-18, 15 Oct 18, $18 ,3,Business Directory Classified iOS App,sanljiljan, $67.00 , $54.00 ," ? 3,618.00 ",
136,16-Oct-18, 15 Oct 18, $99 ,0,Tractor Hill Racing (Unity3D iOS game + Admob Ads),electricpunch1, $67.00 , $-   , ? -   ,
137,16-Oct-18, 15 Oct 18, $68 ,0,Bundle 6 Games IOS with different Gameplay,ObGames, $67.00 , $-   , ? -   ,
138,16-Oct-18, 15 Oct 18, $19 ,3,FLOPPY BIRD WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $57.00 ," ? 3,819.00 ",
139,16-Oct-18, 15 Oct 18, $29 ,2,Mega Bundle 4 Games - iOS Xcode + Buildbox,zahragames, $67.00 , $58.00 ," ? 3,886.00 ",
140,16-Oct-18, 14 Nov 18, $25 ,0,Boat + Admob + IOS Project + Buildbox Project + Easy to Reskin,jcpps, $67.00 , $-   , ? -   ,
141,16-Oct-18, 15 Oct 18, $18 ,1,Halloween Adventure - Xcode project -Ready to publish-  ADMOB INTEGRATED,aminokee, $67.00 , $18.00 ," ? 1,206.00 ",
142,16-Oct-18, 15 Oct 18, $16 ,1,SQUARE NINJA WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $16.00 ," ? 1,072.00 ",
143,16-Oct-18, 15 Oct 18, $19 ,2,Shadow Runner (IOS) Fun Arcade Game Template + Easy To Reskine + AdMob,KartoFun, $67.00 , $38.00 ," ? 2,546.00 ",
144,16-Oct-18, 15 Oct 18, $18 ,0,GHOSTS CIRCLE WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $-   , ? -   ,
145,16-Oct-18, 15 Oct 18, $12 ,12,FireAuth - Sign in and Sign up with Email,, $67.00 , $144.00 ," ? 9,648.00 ",
146,16-Oct-18, 15 Oct 18, $18 ,1,Halloween Ghost - Xcode Project - New generation,aminokee, $67.00 , $18.00 ," ? 1,206.00 ",
147,09-Oct-18, 20 Feb 19, $69 ,7,Z Store | iOS E-Commerce Shop Application with PayPal SDK,xscoder, $67.00 , $483.00 ," ? 32,361.00 ",
148,09-Oct-18, 8 Oct 18, $12 ,0,iOS E-Commerce template | Objective C,Reactiveweb, $67.00 , $-   , ? -   ,
149,09-Oct-18, 8 Oct 18, $14 ,2,Balls vs Bricks Unity Game Template,samiaa310, $67.00 , $28.00 ," ? 1,876.00 ",
150,09-Oct-18, 8 Oct 18, $14 ,1,Gif Maker - Create Gif from Video & Images,samiaa310, $67.00 , $14.00 , ? 938.00 ,
151,09-Oct-18, 8 Oct 18, $18 ,0,Boo Caveman - Game Adventure - Xcode,aminokee, $67.00 , $-   , ? -   ,
152,09-Oct-18, 8 Oct 18, $18 ,0,Brick Race Game of Tetris Source Code for IOS,BBStore, $67.00 , $-   , ? -   ,
153,02-Oct-18, 1 Oct 18, $20 ,5,Path Orbit - Buildbox Template,rizwaanashraf, $67.00 , $100.00 ," ? 6,700.00 ",
154,27-Sep-18, 27 Sep 18, $20 ,7,Mario Stack - Buildbox Template,rizwaanashraf, $67.00 , $140.00 ," ? 9,380.00 ",
155,27-Sep-18, 27 Sep 18, $49 ,3,Zombie Shooter,TapTapStudio, $67.00 , $147.00 ," ? 9,849.00 ",
156,27-Sep-18, 27 Sep 18, $10 ,4,White Monster - Buildbox Template,rizwaanashraf, $67.00 , $40.00 ," ? 2,680.00 ",
157,27-Sep-18, 27 Sep 18, $14 ,5,Star Keeper - Buildbox Template,rizwaanashraf, $67.00 , $70.00 ," ? 4,690.00 ",
158,27-Sep-18, 27 Sep 18, $20 ,1,Ninja Adventure - Xcode & Builbdox Game Template,RgzStudioTeam, $67.00 , $20.00 ," ? 1,340.00 ",
159,27-Sep-18, 27 Sep 18, $14 ,0,Passages,McGeeTechnologies, $67.00 , $-   , ? -   ,
160,27-Sep-18, 27 Sep 18, $19 ,2,[WHITE Label] Weather - iOS Application,MisterGrizzly, $67.00 , $38.00 ," ? 2,546.00 ",
161,27-Sep-18, 27 Sep 18, $16 ,2,Speed Car :Ios Game-Multiples characters-easy to reskin-and more,ObGames, $67.00 , $32.00 ," ? 2,144.00 ",
162,27-Sep-18, 27 Sep 18, $19 ,0,Funny Dank meme soundboard for Xcode. Admob/bbdoc included,PixelonArt, $67.00 , $-   , ? -   ,
163,27-Sep-18, 14 Feb 19, $304 ,0,Salon Beauty Service Appointment Booking Mobile Application with Web Admin,freebizoffer, $67.00 , $-   , ? -   ,
164,27-Sep-18, 6 Jan 19, $104 ,1,iPhone Native Vehicle Booking Mobile Application with Admin,freebizoffer, $67.00 , $104.00 ," ? 6,968.00 ",
165,27-Sep-18, 27 Sep 18, $19 ,5,School Theory and Practice Tests iOS App,allzone, $67.00 , $95.00 ," ? 6,365.00 ",
166,27-Sep-18, 27 Sep 18, $20 ,2,Verge - Buildbox template,rizwaanashraf, $67.00 , $40.00 ," ? 2,680.00 ",
167,18-Sep-18, 28 Nov 18, $22 ,8,iOS Online Stories,viaviwebtech, $67.00 , $176.00 ," ? 11,792.00 ",
