Main Category,Sub Category
Baby Care , OTC Medicines ," Antiseptics, Digestive, Cotton & Bandages"
Baby Care , Detergents ," Detergent Bar, Detergent Powder, Liquid Detergent"
Baby Care , Diwali Decoration ," Dishwash Bars, Liquid Dishwashers, Powdered Dishwashers"
Baby Care , Utensil Cleaners ," Floor Cleaners, Toilet Cleaners, Surface Cleaners"
Baby Care , Cleaners , Agarbathi & Dhoop Batti
Baby Care , Pooja Needs ," Brooms  Dust Pans & Dustbin, Mops & Wipers, Brushes & Scrubbers"
Baby Care , Cleaning Equipments , Shoe Polish
Baby Care , Shoe Care , Mosquito Repellents
Baby Care , Repellents ," Cutlery, Bottles, Chillers & Ice Cube Trays, Cookwere, Pressure Cooker, Kitchen Stroage, Dining & Serving, Cutting Tools, Flasks & Tiffins, Disposables, Mug & Cup Saucers, Bathroom Accessories"
Baby Care , Kitchen & Dining ," Juicer Mixer & Blenders, Toasters"
Baby Care , Kitchen & Home Appliance ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Baby Care , Air Fresheners ," Toilet Paper, Disposable Plates & Utensils, Tissue Papers & Napkins"
Baby Care , Baby Food ," Baby Powder, Diapers & Wipes, Baby Care & Accessories, Baby Creams & Lotions, Baby Oils & Shampoos"
Baby Care , Soft Drinks , Cola Drinks
Baby Care , Fruit Juices ," Mango Juices, Orange Juices, Apple Juices"
Baby Care , Tea & Coffee ," Tea, Green Tea, Tea Bags, Instant Coffee, Drinking Cocolate"
Baby Care , Mineral Water , Energy Drinks
Baby Care , Energy & Health Drinks ," Concentrates, Milk Drink, Sarbat"
Beverages , Grains ," Chana Dal, Moong Dal, Other Dals, Raw Peanuts, Soya Products"
Beverages , Dals & Pulses ," Almonds, Cashews, Mukhwas & Mouth Freshener, Other Dry Fruits"
Beverages , Dry Fruits ," Ghee, Sunflower Oil, Cottonseed Oil, Groudnut Oils, Olive Oils, Mustard Oils"
Beverages , Edible Oils & Ghee ," Besan, Maida, Other Flours, Rice Flours, Sooji & Rava"
Beverages , Flours & Sooji ," Food Colour, International Spices, Powdered Spices, Ready Masalas"
Beverages , Masalas & Spices ," Avalakki / Poha, Basmati Rice"
Beverages , Rice & Rice Product ," Jaggery, Salt, Sugar, Sugar Cubes"
Beverages , Breads & Bakery , Bread
Beverages , Breakfast Cereals ," Flakes, Muesli & OATS"
Beverages , Snacks ," Other Snacks, Namkeen, Chikki, Chips & More, Papads"
