app_name,publisher,reviwe_rate,review_total,updated_on,downloads,require_android,current_version,size
MediBang Paint - Make Art !,MediBang Inc.,4.4,"167,498","April 9, 2019","10,000,000+",4.1 and up,17.0,20M
Emoji Letter Maker 😍,Elad Finish,4.4,"8,505","January 26, 2018","1,000,000+",4.2 and up,3.0,4.5M
Kitchen Cooking Coloring Pages -Kids Coloring Book,M . S Game,3.9,70,"January 13, 2019","100,000+",4.1 and up,12.0,38M
Sketch - Draw & Paint,Sony Mobile Communications,4.5,"261,744","March 9, 2019","100,000,000+",4.2 and up,Varies with device,34M
FlipaClip: Cartoon animation,Visual Blasters LLC,4.4,"261,638","April 4, 2019","10,000,000+",4.1 and up,2.3.5,28M
Drawing Cute Chibi Super Heroes,Dabdaa Games,4.5,402,"April 3, 2019","50,000+",4.0 and up,1.9,28M
Onetap Glitch - Photo Editor,magic seal,4.1,"16,418","October 20, 2018","5,000,000+",4.1 and up,2.0.7,8.1M
Kappboom - Cool Wallpapers & Background Wallpapers,Kappboom Inc.,4.8,"400,083","January 2, 2018","10,000,000+",4.1 and up,1.8.3,8.1M
PENUP - Share your drawings,"Samsung Electronics Co.,  Ltd.",4.0,"16,921","March 27, 2019","50,000,000+",5.0 and up,3.1.03.1,26M
... Joins the Battle! - Meme Generator,Mr. Unp3rf3ct,3.8,"1,454","April 7, 2019","100,000+",4.0 and up,2.2.2,5.6M
